id_contrato,data_solicitacao,data_aprovacao,departamento,tipo_contrato,valor,status,dias_para_aprovacao,aprovador
CT33676,2023-01-01,2023-01-15,Operações,Evento,186367.72,Aprovado,14.0,Cecilia Alves
CT11833,2023-01-01,,Compras,Consultoria,324881.49,Pendente,,
CT00936,2023-01-01,2023-01-21,Compras,Fornecedor,132282.91,Aprovado,20.0,Sr. Theodoro Macedo
CT38515,2023-01-01,2023-01-18,RH,Prestação de Serviços,106106.29,Aprovado,17.0,Sr. Theodoro Macedo
CT05206,2023-01-01,2023-01-31,Marketing,Consultoria,45044.18,Aprovado,30.0,Apollo Santos
CT17767,2023-01-01,2023-01-12,Compras,Software,59137.67,Aprovado,11.0,Luiz Fernando Fogaça
CT21262,2023-01-01,2023-01-31,Operações,Consultoria,142523.02,Aprovado,30.0,Cecilia Alves
CT47378,2023-01-01,2023-01-20,Jurídico,Treinamento,266287.95,Aprovado,19.0,Luiz Fernando Fogaça
CT16154,2023-01-01,2023-01-13,TI,Treinamento,388507.78,Aprovado,12.0,Srta. Larissa Fernandes
CT00696,2023-01-01,,Compras,Software,297421.24,Rejeitado,,
CT44663,2023-01-01,2023-01-31,Marketing,Software,106460.3,Aprovado,30.0,Srta. Larissa Fernandes
CT00302,2023-01-01,2023-01-11,Marketing,Evento,417724.79,Aprovado,10.0,Srta. Larissa Fernandes
CT16078,2023-01-01,2023-01-20,Operações,Software,432096.18,Aprovado,19.0,Apollo Santos
CT29850,2023-01-01,,Jurídico,Fornecedor,286036.13,Rejeitado,,
CT21756,2023-01-01,2023-01-26,Marketing,Consultoria,217261.43,Aprovado,25.0,Dr. João Rios
CT25704,2023-01-01,2023-01-22,Financeiro,Evento,322147.71,Aprovado,21.0,Davi Lucas Carvalho
CT45574,2023-01-01,,Operações,Software,448826.94,Cancelado,,
CT49982,2023-01-01,2023-01-07,Jurídico,Consultoria,487090.16,Aprovado,6.0,Liz Costela
CT39656,2023-01-01,,TI,Treinamento,415718.35,Cancelado,,
CT04173,2023-01-01,2023-01-08,Financeiro,Evento,408410.53,Aprovado,7.0,Calebe Rodrigues
CT25354,2023-01-01,2023-01-05,RH,Evento,155291.44,Aprovado,4.0,Davi Lucas Carvalho
CT33035,2023-01-01,2023-01-23,Jurídico,Evento,455211.73,Aprovado,22.0,Sr. Theodoro Macedo
CT36793,2023-01-01,,TI,Fornecedor,385164.54,Rejeitado,,
CT04785,2023-01-01,2023-01-29,Compras,Software,178075.04,Aprovado,28.0,Dr. José Miguel Porto
CT29177,2023-01-01,,Operações,Consultoria,78118.92,Rejeitado,,
CT25531,2023-01-01,2023-01-17,Operações,Prestação de Serviços,3393.02,Aprovado,16.0,Dr. José Miguel Porto
CT36162,2023-01-01,2023-01-12,Jurídico,Treinamento,117666.28,Aprovado,11.0,Apollo Santos
CT00825,2023-01-01,2023-01-30,RH,Evento,458039.21,Aprovado,29.0,Pedro Henrique Nunes
CT41346,2023-01-01,,Operações,Software,234619.37,Pendente,,
CT45059,2023-01-01,2023-01-19,Financeiro,Treinamento,216781.23,Aprovado,18.0,Anthony Vargas
CT38854,2023-01-01,,Operações,Treinamento,378086.55,Pendente,,
CT36163,2023-01-01,2023-01-08,Marketing,Software,209508.89,Aprovado,7.0,Dr. José Miguel Porto
CT46567,2023-01-01,2023-01-29,Jurídico,Prestação de Serviços,492070.2,Aprovado,28.0,Cecilia Alves
CT05575,2023-01-01,2023-01-09,Operações,Fornecedor,119541.95,Aprovado,8.0,Sr. Theodoro Macedo
CT04080,2023-01-01,2023-01-27,Financeiro,Software,91662.81,Aprovado,26.0,Asafe Cardoso
CT16449,2023-01-01,2023-01-04,RH,Consultoria,44876.02,Aprovado,3.0,Dr. João Rios
CT45300,2023-01-01,2023-01-17,Marketing,Fornecedor,486573.51,Aprovado,16.0,Calebe Rodrigues
CT28091,2023-01-01,2023-01-28,Financeiro,Fornecedor,257722.98,Aprovado,27.0,Calebe Rodrigues
CT03689,2023-01-01,2023-01-28,Financeiro,Consultoria,329972.66,Aprovado,27.0,Anthony Vargas
CT20016,2023-01-01,2023-01-04,RH,Consultoria,84117.44,Aprovado,3.0,Calebe Rodrigues
CT00445,2023-01-01,,Marketing,Fornecedor,23599.61,Pendente,,
CT28334,2023-01-01,2023-01-16,Compras,Fornecedor,158076.08,Aprovado,15.0,Anthony Gabriel Costa
CT43370,2023-01-01,,RH,Treinamento,153453.74,Cancelado,,
CT42088,2023-01-01,2023-01-31,Jurídico,Fornecedor,498426.74,Aprovado,30.0,Calebe Rodrigues
CT35329,2023-01-01,,Jurídico,Software,176283.72,Cancelado,,
CT40510,2023-01-01,,Compras,Evento,225735.21,Pendente,,
CT07686,2023-01-01,2023-01-16,Compras,Consultoria,254128.19,Aprovado,15.0,Apollo Santos
CT12287,2023-01-01,2023-01-11,RH,Software,150492.05,Aprovado,10.0,Ana Luiza Jesus
CT12350,2023-01-01,,Compras,Evento,367396.57,Pendente,,
CT23610,2023-01-01,,RH,Treinamento,118740.13,Pendente,,
CT08167,2023-01-01,2023-01-03,RH,Consultoria,197099.33,Aprovado,2.0,Isadora Moraes
CT08572,2023-01-01,2023-01-10,Compras,Prestação de Serviços,218229.94,Aprovado,9.0,Alexandre Pereira
CT31506,2023-01-01,,Compras,Software,64337.76,Pendente,,
CT19161,2023-01-01,2023-01-06,Marketing,Fornecedor,12382.1,Aprovado,5.0,Apollo Santos
CT34960,2023-01-01,2023-01-11,Compras,Consultoria,281578.19,Aprovado,10.0,Dr. João Rios
CT26822,2023-01-01,2023-01-22,RH,Treinamento,270912.91,Aprovado,21.0,Liz Costela
CT05749,2023-01-01,,Marketing,Consultoria,181474.88,Pendente,,
CT07065,2023-01-01,2023-01-11,Marketing,Prestação de Serviços,240125.22,Aprovado,10.0,Alexandre Pereira
CT36433,2023-01-01,2023-01-23,Compras,Software,65293.77,Aprovado,22.0,Dr. João Rios
CT27295,2023-01-01,,Financeiro,Prestação de Serviços,306767.0,Cancelado,,
CT15549,2023-01-01,2023-01-26,Operações,Evento,414485.44,Aprovado,25.0,Liz Costela
CT32639,2023-01-01,2023-01-28,RH,Evento,175643.5,Aprovado,27.0,Dr. João Rios
CT03942,2023-01-01,2023-01-15,Operações,Fornecedor,252063.31,Aprovado,14.0,Srta. Larissa Fernandes
CT14398,2023-01-01,2023-01-02,Financeiro,Evento,265958.42,Aprovado,1.0,Luiz Felipe Costa
CT35542,2023-01-01,2023-01-23,Financeiro,Treinamento,449668.74,Aprovado,22.0,Dr. João Rios
CT23401,2023-01-01,,Jurídico,Consultoria,100863.52,Rejeitado,,
CT34906,2023-01-01,2023-01-17,RH,Fornecedor,413801.35,Aprovado,16.0,Davi Lucas Carvalho
CT44821,2023-01-02,2023-01-07,TI,Prestação de Serviços,102873.4,Aprovado,5.0,Dr. João Rios
CT01278,2023-01-02,2023-01-21,Operações,Fornecedor,57975.66,Aprovado,19.0,Cecilia Alves
CT01180,2023-01-02,,Marketing,Treinamento,26312.37,Rejeitado,,
CT11566,2023-01-02,2023-01-13,Jurídico,Fornecedor,310864.49,Aprovado,11.0,Ana Luiza Jesus
CT00286,2023-01-02,2023-01-14,Compras,Consultoria,432260.77,Aprovado,12.0,Dr. José Miguel Porto
CT06185,2023-01-02,2023-01-03,Marketing,Fornecedor,146233.8,Aprovado,1.0,Calebe Rodrigues
CT30776,2023-01-02,,Operações,Fornecedor,245809.94,Rejeitado,,
CT24557,2023-01-02,2023-01-08,Jurídico,Evento,145731.06,Aprovado,6.0,Dr. João Rios
CT15503,2023-01-02,2023-01-19,Compras,Evento,268218.94,Aprovado,17.0,Calebe Rodrigues
CT40734,2023-01-02,2023-01-24,Marketing,Evento,342377.05,Aprovado,22.0,Luiz Fernando Fogaça
CT30531,2023-01-02,,RH,Consultoria,218832.6,Rejeitado,,
CT28150,2023-01-02,2023-01-16,RH,Evento,286820.22,Aprovado,14.0,Srta. Larissa Fernandes
CT07126,2023-01-02,,RH,Consultoria,485299.35,Rejeitado,,
CT40499,2023-01-02,,Jurídico,Prestação de Serviços,186003.85,Rejeitado,,
CT01868,2023-01-02,2023-01-28,Operações,Treinamento,404415.29,Aprovado,26.0,Ana Luiza Jesus
CT16740,2023-01-02,2023-01-30,Marketing,Prestação de Serviços,102178.9,Aprovado,28.0,Davi Lucas Carvalho
CT40422,2023-01-02,2023-01-15,TI,Treinamento,419940.65,Aprovado,13.0,Dr. José Miguel Porto
CT16775,2023-01-02,2023-01-06,Jurídico,Software,155569.52,Aprovado,4.0,Calebe Rodrigues
CT11071,2023-01-02,,Marketing,Treinamento,382228.28,Cancelado,,
CT16518,2023-01-02,,Jurídico,Software,257585.69,Pendente,,
CT16807,2023-01-02,,RH,Consultoria,357259.71,Rejeitado,,
CT16956,2023-01-02,2023-01-26,Jurídico,Evento,459004.89,Aprovado,24.0,Anthony Gabriel Costa
CT26666,2023-01-02,2023-01-21,TI,Evento,88969.92,Aprovado,19.0,Calebe Rodrigues
CT17050,2023-01-02,2023-01-13,RH,Consultoria,233915.89,Aprovado,11.0,Luiz Felipe Costa
CT26536,2023-01-02,,Compras,Software,401033.9,Cancelado,,
CT11278,2023-01-02,,Jurídico,Treinamento,152300.75,Rejeitado,,
CT10674,2023-01-02,2023-01-12,Financeiro,Treinamento,356431.2,Aprovado,10.0,Asafe Cardoso
CT29508,2023-01-02,2023-01-19,Compras,Evento,380395.43,Aprovado,17.0,Alexandre Pereira
CT41094,2023-01-02,2023-01-12,TI,Prestação de Serviços,410954.27,Aprovado,10.0,Calebe Rodrigues
CT11310,2023-01-02,2023-01-13,Operações,Software,256245.77,Aprovado,11.0,Dr. João Rios
CT07427,2023-01-02,2023-01-03,Jurídico,Evento,157692.7,Aprovado,1.0,Sr. Theodoro Macedo
CT03801,2023-01-02,,Operações,Consultoria,299826.36,Rejeitado,,
CT36106,2023-01-02,2023-01-09,Financeiro,Prestação de Serviços,347993.99,Aprovado,7.0,Asafe Cardoso
CT25171,2023-01-02,2023-01-08,Jurídico,Software,235272.01,Aprovado,6.0,Anthony Gabriel Costa
CT41584,2023-01-02,2023-01-24,Jurídico,Prestação de Serviços,79560.62,Aprovado,22.0,Cecilia Alves
